Date of Sale,Price,Address,City,State,Country
28/03/2018,420000,"447 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8, Dublin 8",Dublin,Leinster,Ireland
28/03/2018,180000,"46 SEAFIELD COURT, RUSH, DUBLIN",Dublin,Leinster,Ireland
28/03/2018,382000,"8 WOODLAWN DR, SANTRY, DUBLIN 9, Dublin 17",Dublin,Leinster,Ireland
27/03/2018,656387.66,"13 Killart, Cabinteely, Dublin 18, Dublin 18",Dublin,Leinster,Ireland
27/03/2018,246696,"18 Elder Heath Drive, Kiltipper Road, Tallaght, Dublin 24",Dublin,Leinster,Ireland
27/03/2018,440528.63,"23 Grace Park Grove, Grace Park Wood, Drumcondra, Dublin 9",Dublin,Leinster,Ireland
27/03/2018,422907,"25 Grace Park Grove, Grace Park Wood, Grace Park Road, Dublin 9",Dublin,Leinster,Ireland
27/03/2018,432500,"38 Orwell Gate, Block A, Marianella, Dublin 6",Dublin,Leinster,Ireland
27/03/2018,280000,"6 SEAPOINT COURT, BALDOYLE, DUBLIN 13, Dublin 13",Dublin,Leinster,Ireland
27/03/2018,246696,"99 Ash House, Silverbanks, The Coast",Dublin,Leinster,Ireland
26/03/2018,405286.34,"15 Diswellstown Grove, Castleknock, Dublin 15, Dublin 15",Dublin,Leinster,Ireland
23/03/2018,245000,"19 SKELLIGS COURT, WATERVILLE, BLANCHARDSTOWN DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
23/03/2018,182000,"22 DUN SAITHNE ROAD, BALBRIGGAN, CO. DUBLIN",Dublin,Leinster,Ireland
23/03/2018,425000,"3 AN CLADDAGH, NORTH CLIFF HEIGHTS, SKERRIES",Dublin,Leinster,Ireland
23/03/2018,860000,"726a Howth road, Raheny, Dublin 5",Dublin,Leinster,Ireland
22/03/2018,390000,"20 KIRKPATRICK HOUSE, SPENCER DOCK, NORTH WALL QUAY, Dublin 1",Dublin,Leinster,Ireland
21/03/2018,420000,"32 DOLPHIN RD, DUBLIN 12, DUBLIN, Dublin 12",Dublin,Leinster,Ireland
20/03/2018,190264,"12 THE CRESCENT, LARCHILL, COOLOCK LANE",Dublin,Leinster,Ireland
20/03/2018,180384,"17 CHERRYWOOD DR, CLONDALKIN, DUBLIN, Dublin 22",Dublin,Leinster,Ireland
20/03/2018,184512,"3 MANOR PLACE, ONGAR VILLAGE, DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
20/03/2018,295220,"31 RIVER VALE, ASHTOWN, DUBLIN, Dublin 15",Dublin,Leinster,Ireland
20/03/2018,179086,"51 MARLFIELD CLOSE, KILTIPPER, TALLAGHT",Dublin,Leinster,Ireland
20/03/2018,153760,"59B ARAS NA CLUAINE, CLONDALKIN, DUBLIN 22, Dublin 22",Dublin,Leinster,Ireland
20/03/2018,184512,"6 WHEATFIELD PARK, CLONDALKIN, DUBLIN 22, Dublin 22",Dublin,Leinster,Ireland
20/03/2018,570000,"9 LORD EDWARD ST, DUBLIN 2, DUBLIN, Dublin 2",Dublin,Leinster,Ireland
20/03/2018,316307,"APT 101 BLOCK 4 IVY EXCHANGE, PARNELL STREET, DUBLIN 1, Dublin 1",Dublin,Leinster,Ireland
20/03/2018,202576,"APT 43 THE MALTHOUSE, MARROWBONE LANE, DUBLIN 8",Dublin,Leinster,Ireland
20/03/2018,146072,"APT 7 BLOCK C, BALLYMOUNT SQUARE, BALLYMOUNT ROAD",Dublin,Leinster,Ireland
16/03/2018,657400,"10 BOYD AVENUE, HONEYPARK, DUN LAOGHAIRE",Dublin,Leinster,Ireland
16/03/2018,240000,"18 DUNSINK RD, FINGLAS, DUBLIN 11, Dublin 11",Dublin,Leinster,Ireland
16/03/2018,852500,"38 HEYTESBURY ST, DUBLIN 8, DUBLIN, Dublin 8",Dublin,Leinster,Ireland
15/03/2018,196000,"61 MOYLARAGH RISE, BALBRIGGAN, DUBLIN",Dublin,Leinster,Ireland
13/03/2018,650000,"5 MONALOE PARK RD, BLACKROCK, DUBLIN",Dublin,Leinster,Ireland
05/03/2018,1180000,"FLAT 1, 46 SOUTH CIRCULAR ROAD, D8, Dublin 8",Dublin,Leinster,Ireland
23/02/2018,200000,"243 LIMETREE AVE, PORTMARNOCK, DUBLIN, Dublin 13",Dublin,Leinster,Ireland
19/02/2018,860000,"1 ORIEL COURT, 50 51 PATRICK STREET, DUNLAOGHAIRE",Dublin,Leinster,Ireland
16/02/2018,440000,"APT 22, EAST COURTYARD, TULLYVALE CABINTEELY DUBLIN 18, Dublin 18",Dublin,Leinster,Ireland
14/02/2018,250000,"APART 1 OVER SPAR, STRAND ROAD, PORTMARNOCK",Dublin,Leinster,Ireland
14/02/2018,924000,"FLAT 1-10, 14 BLESSINGTON STREET, D7",Dublin,Leinster,Ireland
31/01/2018,271000,"22 KEARNS COURT, KEARNS PLACE, KILMAINHAM DUBLIN 8, Dublin 8",Dublin,Leinster,Ireland
10/01/2018,68481.51,"39 SEVEN OAK, SARSFIELD ROAD, BALLYFERMOT, Dublin 10",Dublin,Leinster,Ireland
28/03/2018,375000,"BLOCK A, 141 ADELAIDE SQ, WHITEFRIAR ST, Dublin 8",Dublin,Leinster,Ireland
27/03/2018,200000,"118 CAPPAGH ROAD, FINGLAS WEST, DUBLIN 11, Dublin 11",Dublin,Leinster,Ireland
27/03/2018,565000,"13 CARRICKMINES CHASE, CARRICKMINES WOOD, BRENNANSTOWN RD DUBLIN 18, Dublin 18",Dublin,Leinster,Ireland
27/03/2018,475770.92,"2 Diswellstown Avenue, Castleknock, Dublin 15",Dublin,Leinster,Ireland
27/03/2018,422908,"29 Grace Park Grove, Grace Park Wood, Grace Park Road, Dublin 9",Dublin,Leinster,Ireland
27/03/2018,230000,"31 BEAUMONT HALL, BEAUMONT WOODS, BEAUMONT DUBLIN 9, Dublin 9",Dublin,Leinster,Ireland
27/03/2018,263876.65,"62 Ballygossan Park, Golf Links Road, Skerries",Dublin,Leinster,Ireland
27/03/2018,339207.05,"8 Parkside View, Parkside, Malahide Road",Dublin,Leinster,Ireland
26/03/2018,317180,"11 Beresford Woods, Donabate",Dublin,Leinster,Ireland
26/03/2018,279735,"54 The Close, Citywest Village Citywest, Dublin 24",Dublin,Leinster,Ireland
26/03/2018,475000,"83 WYATTVILLE PARK, DUN LAOGHAIRE, CO DUBLIN",Dublin,Leinster,Ireland
23/03/2018,300000,"1 COLLEGE COURT, KEVIN ST LOWER, DUBLIN, Dublin 8",Dublin,Leinster,Ireland
23/03/2018,296000,"17 HUNTSTOWN GLEN, MULHUDDART, DUBLIN, Dublin 15",Dublin,Leinster,Ireland
23/03/2018,246696,"26 Elder Heath Drive, Kiltipper Road, DUBLIN 24",Dublin,Leinster,Ireland
22/03/2018,200000,"104 BLACKHALL COURT, DUBLIN 7, DUBLIN, Dublin 7",Dublin,Leinster,Ireland
22/03/2018,506000,"13 PATRICK DOYLE RD, MILLTOWN, DUBLIN 14, Dublin 14",Dublin,Leinster,Ireland
22/03/2018,166000,"28 MONTPELIER COURT, KILTALAWN TALLAGHT, DUBLIN 24, Dublin 24",Dublin,Leinster,Ireland
22/03/2018,200000,"60 HUNTERS HALL, HUNTERSWOOD, BALLYCULLEN DUBLIN 24, Dublin 24",Dublin,Leinster,Ireland
22/03/2018,192668.65,"APT 47 TEMPLE HALL, MOUNT ST ANNES, MILLTOWN, Dublin 6",Dublin,Leinster,Ireland
21/03/2018,207000,"10 ALLEN HALL, BELGARD SQ WEST, TALLAGHT DUBLIN 24, Dublin 24",Dublin,Leinster,Ireland
21/03/2018,415000,"2 MOUNT DRUMMOND SQ, HAROLDS CROSS, DUBLIN 6, Dublin 6",Dublin,Leinster,Ireland
21/03/2018,290000,"53 GLASANAON ROAD, DUBLIN 11, Dublin 11",Dublin,Leinster,Ireland
20/03/2018,276769,"111 BELMAYNE PARK SOUTH, BELMAYNE, BALGRIFFIN",Dublin,Leinster,Ireland
20/03/2018,160656,"2 THE GABLES, GRANGEVIEW, CLONDALKIN, Dublin 22",Dublin,Leinster,Ireland
20/03/2018,430830,"23 PAKENHAM HOUSE, SPENCER DOCK, DUBLIN 1, Dublin 1",Dublin,Leinster,Ireland
20/03/2018,475000,"27 OTTERBROOK, WILLBROOK RD, DUBLIN 14, Dublin 14",Dublin,Leinster,Ireland
20/03/2018,505403,"311 LONGBOAT QUAY NORTH, DUBLIN 2, DUBLIN, Dublin 2",Dublin,Leinster,Ireland
20/03/2018,321000,"32 CASTLEGRANGE DALE, CASTAHEANY, CLONEE DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
20/03/2018,188571,"37 THE WEAVERS, MEATH ST, DUBLIN 8, Dublin 8",Dublin,Leinster,Ireland
20/03/2018,190000,"5 THE CRESCENT, PARK WEST POINTE, YEATS WAY DUBLIN 22, Dublin 12",Dublin,Leinster,Ireland
20/03/2018,276769,"70 EARLS COURT, CORK STREET, DUBLIN 8, Dublin 8",Dublin,Leinster,Ireland
20/03/2018,193738,"83 MELLOWS QUAY, USHERS QUAY, DUBLIN 8, Dublin 8",Dublin,Leinster,Ireland
20/03/2018,170945,"95 APPLEWOOD, MAIN ST, SWORDS",Dublin,Leinster,Ireland
20/03/2018,222857,"APT NO 52, BRABAZON HALL, DUBLIN 8",Dublin,Leinster,Ireland
16/03/2018,480000,"121 ST PATRICKS CRESCENT, DUN LAOGHAIRE, GLENAGEARY",Dublin,Leinster,Ireland
16/03/2018,275000,"171 CASTLEFORBES SQ, DUBLIN 1, DUBLIN, Dublin 1",Dublin,Leinster,Ireland
16/03/2018,490000,"85 SMITHFIELD MARKET, BLOCK B, SMITHFIELD, Dublin 7",Dublin,Leinster,Ireland
15/03/2018,440000,"12 BROOKDENE, SHANAGANAGH RD, KILLINEY, Dublin 18",Dublin,Leinster,Ireland
15/03/2018,230000,"APT 20, DAKOTA COURT, ROYAL CANAL BANK DUBLIN 7, Dublin 7",Dublin,Leinster,Ireland
09/03/2018,295155,"11 CANON HALL, CHURCH STREET EAST, DUBLIN 3",Dublin,Leinster,Ireland
09/03/2018,275330.4,"18 Brook House, Corrig Avenue, Dun Laoghaire",Dublin,Leinster,Ireland
08/03/2018,496000,"39 LEINSTER ST, PHIBSBOROUGH, DUBLIN 7, Dublin 7",Dublin,Leinster,Ireland
08/03/2018,460000,"443 KILMAINHAM SQ, INCHICORE RD, KILMAINHAM, Dublin 8",Dublin,Leinster,Ireland
05/03/2018,585000,"MARULA, FAIRBROOK LAWN, RATHFARNHAM",Dublin,Leinster,Ireland
28/02/2018,910000,"5A La Vista Avenue, Sutton, Dublin 13",Dublin,Leinster,Ireland
26/02/2018,350000,"APT 3 RATHMINES WOOD, ARDEE RD, RATHMINES DUBLIN 6, Dublin 6",Dublin,Leinster,Ireland
22/02/2018,191000,"48 LINNETFIELDS SQ, CASTAHEANY DUBLIN 15, DUBLIN, Dublin 15",Dublin,Leinster,Ireland
20/02/2018,265000,"52 DURROW RD, DUBLIN 12, DUBLIN, Dublin 12",Dublin,Leinster,Ireland
14/02/2018,755000,"2 SHERRARD STREET UPPER, DUBLIN 1",Dublin,Leinster,Ireland
14/02/2018,822000,"4 SHERRARD ST UPPER, DUBLIN 1",Dublin,Leinster,Ireland
27/03/2018,378854.62,"1 Hamilton Hill, Barnageeragh Cove, Skerries",Dublin,Leinster,Ireland
27/03/2018,775000,"2 Bolton View, Bolton Park, Rathfarnham",Dublin,Leinster,Ireland
27/03/2018,820000,"REDROOF, SCRIBBLESTOWN, CASTLEKNOCK DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
26/03/2018,400000,"13 GLENDOWN COURT, TEMPLEOGUE, DUBLIN 6W",Dublin,Leinster,Ireland
26/03/2018,246696.03,"16 Elder Heath Drive, Kiltipper Road, Dublin 24, Dublin 24",Dublin,Leinster,Ireland
26/03/2018,231000,"97 KILLINARDEN EST, TALLAGHT, DUBLIN 24, Dublin 24",Dublin,Leinster,Ireland
23/03/2018,297500,"11 ST AUBYNS COURT, SHANGANAGH RD, KILLINEY",Dublin,Leinster,Ireland
23/03/2018,1125000,"11B CLYDE LANE, BALLSBRIDGE, DUBLIN 4, Dublin 4",Dublin,Leinster,Ireland
23/03/2018,175000,"125 THE PLAZA, BALLYMUN, DUBLIN, Dublin 9",Dublin,Leinster,Ireland
23/03/2018,260000,"26 CEDAR SQ, THE CEDARS, RIDGEWOOD",Dublin,Leinster,Ireland
23/03/2018,175000,"27 CORRIG HOUSE, CORRIG AVE, DUN LAOGHAIRE",Dublin,Leinster,Ireland
23/03/2018,810000,"38 CARRICKBRENNAN LAWN, MONKSTOWN, BLACKROCK",Dublin,Leinster,Ireland
23/03/2018,930000,"42 PRIORY DR, STILLORGAN, DUBLIN",Dublin,Leinster,Ireland
23/03/2018,237000,"49 KILWORTH RD, DRIMNAGH, DUBLIN 12, Dublin 12",Dublin,Leinster,Ireland
23/03/2018,515000,"57 CARRICKBRENNAN LAWN, MONKSTOWN, BLACKROCK",Dublin,Leinster,Ireland
22/03/2018,258000,"63 TEMPLE GARDENS, NORTHWOOD DUBLIN 9, DUBLIN, Dublin 9",Dublin,Leinster,Ireland
21/03/2018,230000,"15 GREENLEA PLACE, TERENURE RD WEST, TERENURE DUBLIN 6W",Dublin,Leinster,Ireland
20/03/2018,170000,"24 GANDON HALL, LOWER GARDINER ST, DUBLIN 1, Dublin 1",Dublin,Leinster,Ireland
20/03/2018,205000,"51 CASSIAN COURT SOUTH, ROYAL CANAL PARK, ASHTOWN, Dublin 15",Dublin,Leinster,Ireland
20/03/2018,62000,"75, PRIMROSE GROVE, DARNDALE DUBLIN 17, Dublin 17",Dublin,Leinster,Ireland
16/03/2018,753303.96,"5 Hampton, Grace Park Road, Drumcondra, Dublin 9",Dublin,Leinster,Ireland
16/03/2018,290000,"APT 1, 220 KIMMAGE RD LOWER, DUBLIN 6W",Dublin,Leinster,Ireland
15/03/2018,395000,"2 BIRCHGROVE EST, KILLINEY, DUN LAOGHAIRE",Dublin,Leinster,Ireland
14/03/2018,520000,"3 ALMA PARK, MONKSTOWN VILLAGE, COUNTY DUBLIN",Dublin,Leinster,Ireland
14/03/2018,126000,"APT 29, EMMET COURT, INCHICORE, Dublin 8",Dublin,Leinster,Ireland
14/03/2018,324375,"Apt. 17 Greenbank House, Cualanor, Upper Glenageary Road",Dublin,Leinster,Ireland
13/03/2018,102000,"22, KYLEMORE AVENUE, BALLYFERMOT DUBLIN 10, Dublin 10",Dublin,Leinster,Ireland
13/03/2018,140000,"7 CASTLEGRANGE DR, CASTAHEANY, DUBLIN 15, Dublin 15",Dublin,Leinster,Ireland
